HOG	OG	Gene Tree Parent Clade	data_Cint	model_Cint
N0.HOG0002902	OG0002701	-	SGZ52268.1	Candida_intermedia@Seq_1031
N0.HOG0002903	OG0002702	-	SGZ52270.1	Candida_intermedia@Seq_1243
N0.HOG0002904	OG0002703	-	SGZ52272.1	Candida_intermedia@Seq_2780
N0.HOG0002905	OG0002704	-	SGZ52274.1	Candida_intermedia@Seq_3173
N0.HOG0002906	OG0002705	-	SGZ52276.1	Candida_intermedia@Seq_1653
N0.HOG0002907	OG0002706	-	SGZ52278.1	Candida_intermedia@Seq_390
N0.HOG0002908	OG0002707	-	SGZ52280.1	Candida_intermedia@Seq_21
N0.HOG0002909	OG0002708	-	SGZ52283.1	Candida_intermedia@Seq_2469
N0.HOG0002910	OG0002709	-	SGZ52284.1	Candida_intermedia@Seq_3207
N0.HOG0002911	OG0002710	-	SGZ52287.1	Candida_intermedia@Seq_4376
N0.HOG0002912	OG0002711	-	SGZ52292.1	Candida_intermedia@Seq_1824
N0.HOG0002913	OG0002712	-	SGZ52300.1	Candida_intermedia@Seq_5128
N0.HOG0002914	OG0002713	-	SGZ52302.1	Candida_intermedia@Seq_4907
N0.HOG0002915	OG0002714	-	SGZ52306.1	Candida_intermedia@Seq_4141
N0.HOG0002916	OG0002715	-	SGZ52308.1	Candida_intermedia@Seq_2621
N0.HOG0002917	OG0002716	-	SGZ52312.1	Candida_intermedia@Seq_966
N0.HOG0002918	OG0002717	-	SGZ52314.1	Candida_intermedia@Seq_97
N0.HOG0002919	OG0002718	-	SGZ52318.1	Candida_intermedia@Seq_167
N0.HOG0002920	OG0002719	-	SGZ52320.1	Candida_intermedia@Seq_4662
N0.HOG0002921	OG0002720	-	SGZ52322.1	Candida_intermedia@Seq_5467
N0.HOG0002922	OG0002721	-	SGZ52324.1	Candida_intermedia@Seq_3708
N0.HOG0002923	OG0002722	-	SGZ52326.1	Candida_intermedia@Seq_5258
N0.HOG0002924	OG0002723	-	SGZ52328.1	Candida_intermedia@Seq_2892
N0.HOG0002925	OG0002724	-	SGZ52330.1	Candida_intermedia@Seq_4706
N0.HOG0002926	OG0002725	-	SGZ52332.1	Candida_intermedia@Seq_2866
N0.HOG0002927	OG0002726	-	SGZ52334.1	Candida_intermedia@Seq_4736
N0.HOG0002928	OG0002727	-	SGZ52336.1	Candida_intermedia@Seq_2806
N0.HOG0002929	OG0002728	-	SGZ52338.1	Candida_intermedia@Seq_3844
N0.HOG0002930	OG0002729	-	SGZ52340.1	Candida_intermedia@Seq_3120
N0.HOG0002931	OG0002730	-	SGZ52342.1	Candida_intermedia@Seq_5272
N0.HOG0002932	OG0002731	-	SGZ52344.1	Candida_intermedia@Seq_2838
N0.HOG0002933	OG0002732	-	SGZ52346.1	Candida_intermedia@Seq_1092
N0.HOG0002934	OG0002733	-	SGZ52350.1	Candida_intermedia@Seq_2084
N0.HOG0002935	OG0002734	-	SGZ52353.1	Candida_intermedia@Seq_3939
N0.HOG0002936	OG0002735	-	SGZ52355.1	Candida_intermedia@Seq_4492
N0.HOG0002937	OG0002736	-	SGZ52357.1	Candida_intermedia@Seq_1132
N0.HOG0002938	OG0002737	-	SGZ52359.1	Candida_intermedia@Seq_213
N0.HOG0002939	OG0002738	-	SGZ52361.1	Candida_intermedia@Seq_802
N0.HOG0002940	OG0002739	-	SGZ52363.1	Candida_intermedia@Seq_3114
N0.HOG0002941	OG0002740	-	SGZ52365.1	Candida_intermedia@Seq_4798
N0.HOG0002942	OG0002741	-	SGZ52367.1	Candida_intermedia@Seq_4148
N0.HOG0002943	OG0002742	-	SGZ52369.1	Candida_intermedia@Seq_3203
N0.HOG0002944	OG0002743	-	SGZ52371.1	Candida_intermedia@Seq_597
N0.HOG0002945	OG0002744	-	SGZ52373.1	Candida_intermedia@Seq_2960
N0.HOG0002946	OG0002745	-	SGZ52375.1	Candida_intermedia@Seq_563
N0.HOG0002947	OG0002746	-	SGZ52379.1	Candida_intermedia@Seq_1269
N0.HOG0002948	OG0002747	-	SGZ52381.1	Candida_intermedia@Seq_3863
N0.HOG0002949	OG0002748	-	SGZ52383.1	Candida_intermedia@Seq_5071
N0.HOG0002950	OG0002749	-	SGZ52387.1	Candida_intermedia@Seq_793
N0.HOG0002951	OG0002750	-	SGZ52389.1	Candida_intermedia@Seq_2354
N0.HOG0002952	OG0002751	-	SGZ52391.1	Candida_intermedia@Seq_1135
N0.HOG0002953	OG0002752	-	SGZ52397.1	Candida_intermedia@Seq_4255
N0.HOG0002954	OG0002753	-	SGZ52399.1	Candida_intermedia@Seq_4576
N0.HOG0002955	OG0002754	-	SGZ52401.1	Candida_intermedia@Seq_2841
N0.HOG0002956	OG0002755	-	SGZ52403.1	Candida_intermedia@Seq_164
N0.HOG0002957	OG0002756	-	SGZ52405.1	Candida_intermedia@Seq_4531
N0.HOG0002958	OG0002757	-	SGZ52409.1	Candida_intermedia@Seq_102
N0.HOG0002959	OG0002758	-	SGZ52411.1	Candida_intermedia@Seq_1416
N0.HOG0002960	OG0002759	-	SGZ52413.1	Candida_intermedia@Seq_2868
N0.HOG0002961	OG0002760	-	SGZ52415.1	Candida_intermedia@Seq_1950
N0.HOG0002962	OG0002761	-	SGZ52417.1	Candida_intermedia@Seq_3366
N0.HOG0002963	OG0002762	-	SGZ52419.1	Candida_intermedia@Seq_1104
N0.HOG0002964	OG0002763	-	SGZ52421.1	Candida_intermedia@Seq_106
N0.HOG0002965	OG0002764	-	SGZ52422.1	Candida_intermedia@Seq_3041
N0.HOG0002966	OG0002765	-	SGZ52427.1	Candida_intermedia@Seq_5507
N0.HOG0002967	OG0002766	-	SGZ52429.1	Candida_intermedia@Seq_2330
N0.HOG0002968	OG0002767	-	SGZ52431.1	Candida_intermedia@Seq_2989
N0.HOG0002969	OG0002768	-	SGZ52433.1	Candida_intermedia@Seq_1607
N0.HOG0002970	OG0002769	-	SGZ52439.1	Candida_intermedia@Seq_3815
N0.HOG0002971	OG0002770	-	SGZ52441.1	Candida_intermedia@Seq_2936
N0.HOG0002972	OG0002771	-	SGZ52443.1	Candida_intermedia@Seq_832
N0.HOG0002973	OG0002772	-	SGZ52445.1	Candida_intermedia@Seq_2546
N0.HOG0002974	OG0002773	-	SGZ52447.1	Candida_intermedia@Seq_3642
N0.HOG0002975	OG0002774	-	SGZ52451.1	Candida_intermedia@Seq_5029
N0.HOG0002976	OG0002775	-	SGZ52453.1	Candida_intermedia@Seq_1268
N0.HOG0002977	OG0002776	-	SGZ52455.1	Candida_intermedia@Seq_3069
N0.HOG0002978	OG0002777	-	SGZ52458.1	Candida_intermedia@Seq_1301
N0.HOG0002979	OG0002778	-	SGZ52460.1	Candida_intermedia@Seq_5058
N0.HOG0002980	OG0002779	-	SGZ52462.1	Candida_intermedia@Seq_1690
N0.HOG0002981	OG0002780	-	SGZ52464.1	Candida_intermedia@Seq_989
N0.HOG0002982	OG0002781	-	SGZ52466.1	Candida_intermedia@Seq_1313
N0.HOG0002983	OG0002782	-	SGZ52468.1	Candida_intermedia@Seq_5421
N0.HOG0002984	OG0002783	-	SGZ52470.1	Candida_intermedia@Seq_4370
N0.HOG0002985	OG0002784	-	SGZ52472.1	Candida_intermedia@Seq_4878
N0.HOG0002986	OG0002785	-	SGZ52474.1	Candida_intermedia@Seq_5050
N0.HOG0002987	OG0002786	-	SGZ52476.1	Candida_intermedia@Seq_1960
N0.HOG0002988	OG0002787	-	SGZ52480.1	Candida_intermedia@Seq_4746
N0.HOG0002989	OG0002788	-	SGZ52482.1	Candida_intermedia@Seq_1428
N0.HOG0002990	OG0002789	-	SGZ52484.1	Candida_intermedia@Seq_4709
N0.HOG0002991	OG0002790	-	SGZ52485.1	Candida_intermedia@Seq_1907
N0.HOG0002992	OG0002791	-	SGZ52488.1	Candida_intermedia@Seq_2140
N0.HOG0002993	OG0002792	-	SGZ52490.1	Candida_intermedia@Seq_1263
N0.HOG0002994	OG0002793	-	SGZ52491.1	Candida_intermedia@Seq_2608
N0.HOG0002995	OG0002794	-	SGZ52493.1	Candida_intermedia@Seq_1531
N0.HOG0002996	OG0002795	-	SGZ52495.1	Candida_intermedia@Seq_2904
N0.HOG0002997	OG0002796	-	SGZ52497.1	Candida_intermedia@Seq_3971
N0.HOG0002998	OG0002797	-	SGZ52500.1	Candida_intermedia@Seq_2756
N0.HOG0002999	OG0002798	-	SGZ52502.1	Candida_intermedia@Seq_2766
N0.HOG0003000	OG0002799	-	SGZ52503.1	Candida_intermedia@Seq_3611
N0.HOG0003001	OG0002800	-	SGZ52505.1	Candida_intermedia@Seq_2831
N0.HOG0003002	OG0002801	-	SGZ52509.1	Candida_intermedia@Seq_4551
N0.HOG0003003	OG0002802	-	SGZ52511.1	Candida_intermedia@Seq_4210
N0.HOG0003004	OG0002803	-	SGZ52513.1	Candida_intermedia@Seq_4485
N0.HOG0003005	OG0002804	-	SGZ52515.1	Candida_intermedia@Seq_1367
N0.HOG0003006	OG0002805	-	SGZ52517.1	Candida_intermedia@Seq_4467
N0.HOG0003007	OG0002806	-	SGZ52519.1	Candida_intermedia@Seq_2151
N0.HOG0003008	OG0002807	-	SGZ52521.1	Candida_intermedia@Seq_5173
N0.HOG0003009	OG0002808	-	SGZ52525.1	Candida_intermedia@Seq_4143
N0.HOG0003010	OG0002809	-	SGZ52529.1	Candida_intermedia@Seq_2501
N0.HOG0003011	OG0002810	-	SGZ52531.1	Candida_intermedia@Seq_3153
N0.HOG0003012	OG0002811	-	SGZ52533.1	Candida_intermedia@Seq_291
N0.HOG0003013	OG0002812	-	SGZ52537.1	Candida_intermedia@Seq_851
N0.HOG0003014	OG0002813	-	SGZ52539.1	Candida_intermedia@Seq_4952
N0.HOG0003015	OG0002814	-	SGZ52541.1	Candida_intermedia@Seq_1194
N0.HOG0003016	OG0002815	-	SGZ52543.1	Candida_intermedia@Seq_4960
N0.HOG0003017	OG0002816	-	SGZ52545.1	Candida_intermedia@Seq_5127
N0.HOG0003018	OG0002817	-	SGZ52552.1	Candida_intermedia@Seq_1064
N0.HOG0003019	OG0002818	-	SGZ52555.1	Candida_intermedia@Seq_4382
N0.HOG0003020	OG0002819	-	SGZ52557.1	Candida_intermedia@Seq_89
N0.HOG0003021	OG0002820	-	SGZ52561.1	Candida_intermedia@Seq_5369
N0.HOG0003022	OG0002821	-	SGZ52564.1	Candida_intermedia@Seq_5180
N0.HOG0003023	OG0002822	-	SGZ52566.1	Candida_intermedia@Seq_1574
N0.HOG0003024	OG0002823	-	SGZ52568.1	Candida_intermedia@Seq_2370
N0.HOG0003025	OG0002824	-	SGZ52570.1	Candida_intermedia@Seq_2376
N0.HOG0003026	OG0002825	-	SGZ52572.1	Candida_intermedia@Seq_2245
N0.HOG0003027	OG0002826	-	SGZ52575.1	Candida_intermedia@Seq_4037
N0.HOG0003028	OG0002827	-	SGZ52578.1	Candida_intermedia@Seq_3810
N0.HOG0003029	OG0002828	-	SGZ52580.1	Candida_intermedia@Seq_588
N0.HOG0003030	OG0002829	-	SGZ52587.1	Candida_intermedia@Seq_2516
N0.HOG0003031	OG0002830	-	SGZ52589.1	Candida_intermedia@Seq_4669
N0.HOG0003032	OG0002831	-	SGZ52591.1	Candida_intermedia@Seq_3143
N0.HOG0003033	OG0002832	-	SGZ52593.1	Candida_intermedia@Seq_1403
N0.HOG0003034	OG0002833	-	SGZ52595.1	Candida_intermedia@Seq_3045
N0.HOG0003035	OG0002834	-	SGZ52597.1	Candida_intermedia@Seq_1317
N0.HOG0003036	OG0002835	-	SGZ52599.1	Candida_intermedia@Seq_825
N0.HOG0003037	OG0002836	-	SGZ52601.1	Candida_intermedia@Seq_3906
N0.HOG0003038	OG0002837	-	SGZ52608.1	Candida_intermedia@Seq_4516
N0.HOG0003039	OG0002838	-	SGZ52610.1	Candida_intermedia@Seq_337
N0.HOG0003040	OG0002839	-	SGZ52614.1	Candida_intermedia@Seq_3492
N0.HOG0003041	OG0002840	-	SGZ52618.1	Candida_intermedia@Seq_1915
N0.HOG0003042	OG0002841	-	SGZ52623.1	Candida_intermedia@Seq_1805
N0.HOG0003043	OG0002842	-	SGZ52625.1	Candida_intermedia@Seq_3795
N0.HOG0003044	OG0002843	-	SGZ52629.1	Candida_intermedia@Seq_3927
N0.HOG0003045	OG0002844	-	SGZ52631.1	Candida_intermedia@Seq_1350
N0.HOG0003046	OG0002845	-	SGZ52633.1	Candida_intermedia@Seq_4013
N0.HOG0003047	OG0002846	-	SGZ52635.1	Candida_intermedia@Seq_1022
N0.HOG0003048	OG0002847	-	SGZ52637.1	Candida_intermedia@Seq_2225
N0.HOG0003049	OG0002848	-	SGZ52638.1	Candida_intermedia@Seq_4616
N0.HOG0003050	OG0002849	-	SGZ52642.1	Candida_intermedia@Seq_2042
N0.HOG0003051	OG0002850	-	SGZ52645.1	Candida_intermedia@Seq_3951
N0.HOG0003052	OG0002851	-	SGZ52647.1	Candida_intermedia@Seq_4137
N0.HOG0003053	OG0002852	-	SGZ52648.1	Candida_intermedia@Seq_1785
N0.HOG0003054	OG0002853	-	SGZ52650.1	Candida_intermedia@Seq_3221
N0.HOG0003055	OG0002854	-	SGZ52652.1	Candida_intermedia@Seq_1830
N0.HOG0003056	OG0002855	-	SGZ52654.1	Candida_intermedia@Seq_4873
N0.HOG0003057	OG0002856	-	SGZ52656.1	Candida_intermedia@Seq_4206
N0.HOG0003058	OG0002857	-	SGZ52661.1	Candida_intermedia@Seq_4947
N0.HOG0003059	OG0002858	-	SGZ52663.1	Candida_intermedia@Seq_1072
N0.HOG0003060	OG0002859	-	SGZ52664.1	Candida_intermedia@Seq_631
N0.HOG0003061	OG0002860	-	SGZ52666.1	Candida_intermedia@Seq_3189
N0.HOG0003062	OG0002861	-	SGZ52668.1	Candida_intermedia@Seq_4683
N0.HOG0003063	OG0002862	-	SGZ52670.1	Candida_intermedia@Seq_3903
N0.HOG0003064	OG0002863	-	SGZ52672.1	Candida_intermedia@Seq_2312
N0.HOG0003065	OG0002864	-	SGZ52674.1	Candida_intermedia@Seq_5346
N0.HOG0003066	OG0002865	-	SGZ52676.1	Candida_intermedia@Seq_3586
N0.HOG0003067	OG0002866	-	SGZ52678.1	Candida_intermedia@Seq_1542
N0.HOG0003068	OG0002867	-	SGZ52680.1	Candida_intermedia@Seq_5129
N0.HOG0003069	OG0002868	-	SGZ52682.1	Candida_intermedia@Seq_226
N0.HOG0003070	OG0002869	-	SGZ52684.1	Candida_intermedia@Seq_5440
N0.HOG0003071	OG0002870	-	SGZ52688.1	Candida_intermedia@Seq_3712
N0.HOG0003072	OG0002871	-	SGZ52690.1	Candida_intermedia@Seq_621
N0.HOG0003073	OG0002872	-	SGZ52692.1	Candida_intermedia@Seq_1492
N0.HOG0003074	OG0002873	-	SGZ52694.1	Candida_intermedia@Seq_4419
N0.HOG0003075	OG0002874	-	SGZ52696.1	Candida_intermedia@Seq_2496
N0.HOG0003076	OG0002875	-	SGZ52698.1	Candida_intermedia@Seq_1024
N0.HOG0003077	OG0002876	-	SGZ52702.1	Candida_intermedia@Seq_2065
N0.HOG0003078	OG0002877	-	SGZ52708.1	Candida_intermedia@Seq_4002
N0.HOG0003079	OG0002878	-	SGZ52710.1	Candida_intermedia@Seq_2793
N0.HOG0003080	OG0002879	-	SGZ52712.1	Candida_intermedia@Seq_1826
N0.HOG0003081	OG0002880	-	SGZ52717.1	Candida_intermedia@Seq_329
N0.HOG0003082	OG0002881	-	SGZ52721.1	Candida_intermedia@Seq_61
N0.HOG0003083	OG0002882	-	SGZ52723.1	Candida_intermedia@Seq_95
N0.HOG0003084	OG0002883	-	SGZ52725.1	Candida_intermedia@Seq_4399
N0.HOG0003085	OG0002884	-	SGZ52727.1	Candida_intermedia@Seq_1107
N0.HOG0003086	OG0002885	-	SGZ52729.1	Candida_intermedia@Seq_552
N0.HOG0003087	OG0002886	-	SGZ52731.1	Candida_intermedia@Seq_4511
N0.HOG0003088	OG0002887	-	SGZ52732.1	Candida_intermedia@Seq_622
N0.HOG0003089	OG0002888	-	SGZ52737.1	Candida_intermedia@Seq_908
N0.HOG0003090	OG0002889	-	SGZ52739.1	Candida_intermedia@Seq_3700
N0.HOG0003091	OG0002890	-	SGZ52743.1	Candida_intermedia@Seq_883
N0.HOG0003092	OG0002891	-	SGZ52745.1	Candida_intermedia@Seq_798
N0.HOG0003093	OG0002892	-	SGZ52747.1	Candida_intermedia@Seq_2918
N0.HOG0003094	OG0002893	-	SGZ52749.1	Candida_intermedia@Seq_4820
N0.HOG0003095	OG0002894	-	SGZ52751.1	Candida_intermedia@Seq_1461
N0.HOG0003096	OG0002895	-	SGZ52753.1	Candida_intermedia@Seq_4532
N0.HOG0003097	OG0002896	-	SGZ52755.1	Candida_intermedia@Seq_3298
N0.HOG0003098	OG0002897	-	SGZ52757.1	Candida_intermedia@Seq_3087
N0.HOG0003099	OG0002898	-	SGZ52759.1	Candida_intermedia@Seq_1366
N0.HOG0003100	OG0002899	-	SGZ52761.1	Candida_intermedia@Seq_3689
N0.HOG0003101	OG0002900	-	SGZ52763.1	Candida_intermedia@Seq_1679
N0.HOG0003102	OG0002901	-	SGZ52765.1	Candida_intermedia@Seq_2025
N0.HOG0003103	OG0002902	-	SGZ52767.1	Candida_intermedia@Seq_666
N0.HOG0003104	OG0002903	-	SGZ52769.1	Candida_intermedia@Seq_4602
N0.HOG0003105	OG0002904	-	SGZ52771.1	Candida_intermedia@Seq_1231
N0.HOG0003106	OG0002905	-	SGZ52773.1	Candida_intermedia@Seq_3974
N0.HOG0003107	OG0002906	-	SGZ52778.1	Candida_intermedia@Seq_2530
N0.HOG0003108	OG0002907	-	SGZ52780.1	Candida_intermedia@Seq_2728
N0.HOG0003109	OG0002908	-	SGZ52782.1	Candida_intermedia@Seq_5374
N0.HOG0003110	OG0002909	-	SGZ52784.1	Candida_intermedia@Seq_4626
N0.HOG0003111	OG0002910	-	SGZ52786.1	Candida_intermedia@Seq_2701
N0.HOG0003112	OG0002911	-	SGZ52790.1	Candida_intermedia@Seq_3197
N0.HOG0003113	OG0002912	-	SGZ52794.1	Candida_intermedia@Seq_1392
N0.HOG0003114	OG0002913	-	SGZ52796.1	Candida_intermedia@Seq_2566
N0.HOG0003115	OG0002914	-	SGZ52798.1	Candida_intermedia@Seq_192
N0.HOG0003116	OG0002915	-	SGZ52800.1	Candida_intermedia@Seq_5407
N0.HOG0003117	OG0002916	-	SGZ52802.1	Candida_intermedia@Seq_2748
N0.HOG0003118	OG0002917	-	SGZ52806.1	Candida_intermedia@Seq_1394
N0.HOG0003119	OG0002918	-	SGZ52808.1	Candida_intermedia@Seq_1856
N0.HOG0003120	OG0002919	-	SGZ52810.1	Candida_intermedia@Seq_2009
N0.HOG0003121	OG0002920	-	SGZ52812.1	Candida_intermedia@Seq_394
N0.HOG0003122	OG0002921	-	SGZ52814.1	Candida_intermedia@Seq_4433
N0.HOG0003123	OG0002922	-	SGZ52817.1	Candida_intermedia@Seq_2954
N0.HOG0003124	OG0002923	-	SGZ52819.1	Candida_intermedia@Seq_1270
N0.HOG0003125	OG0002924	-	SGZ52821.1	Candida_intermedia@Seq_4866
N0.HOG0003126	OG0002925	-	SGZ52823.1	Candida_intermedia@Seq_1994
N0.HOG0003127	OG0002926	-	SGZ52825.1	Candida_intermedia@Seq_2690
N0.HOG0003128	OG0002927	-	SGZ52827.1	Candida_intermedia@Seq_4561
N0.HOG0003129	OG0002928	-	SGZ52829.1	Candida_intermedia@Seq_656
N0.HOG0003130	OG0002929	-	SGZ52830.1	Candida_intermedia@Seq_2510
N0.HOG0003131	OG0002930	-	SGZ52834.1	Candida_intermedia@Seq_5514
N0.HOG0003132	OG0002931	-	SGZ52836.1	Candida_intermedia@Seq_1849
N0.HOG0003133	OG0002932	-	SGZ52838.1	Candida_intermedia@Seq_1947
N0.HOG0003134	OG0002933	-	SGZ52840.1	Candida_intermedia@Seq_4772
N0.HOG0003135	OG0002934	-	SGZ52842.1	Candida_intermedia@Seq_4971
N0.HOG0003136	OG0002935	-	SGZ52843.1	Candida_intermedia@Seq_4665
N0.HOG0003137	OG0002936	-	SGZ52846.1	Candida_intermedia@Seq_1618
N0.HOG0003138	OG0002937	-	SGZ52847.1	Candida_intermedia@Seq_1539
N0.HOG0003139	OG0002938	-	SGZ52848.1	Candida_intermedia@Seq_1158
N0.HOG0003140	OG0002939	-	SGZ52849.1	Candida_intermedia@Seq_2202
N0.HOG0003141	OG0002940	-	SGZ52850.1	Candida_intermedia@Seq_1981
N0.HOG0003142	OG0002941	-	SGZ52851.1	Candida_intermedia@Seq_3339
N0.HOG0003143	OG0002942	-	SGZ52852.1	Candida_intermedia@Seq_4325
N0.HOG0003144	OG0002943	-	SGZ52853.1	Candida_intermedia@Seq_2753
N0.HOG0003145	OG0002944	-	SGZ52854.1	Candida_intermedia@Seq_5363
N0.HOG0003146	OG0002945	-	SGZ52855.1	Candida_intermedia@Seq_2378
N0.HOG0003147	OG0002946	-	SGZ52856.1	Candida_intermedia@Seq_2571
N0.HOG0003148	OG0002947	-	SGZ52857.1	Candida_intermedia@Seq_4744
N0.HOG0003149	OG0002948	-	SGZ52858.1	Candida_intermedia@Seq_3506
N0.HOG0003150	OG0002949	-	SGZ52859.1	Candida_intermedia@Seq_1635
N0.HOG0003151	OG0002950	-	SGZ52860.1	Candida_intermedia@Seq_3965
N0.HOG0003152	OG0002951	-	SGZ52861.1	Candida_intermedia@Seq_5238
N0.HOG0003153	OG0002952	-	SGZ52862.1	Candida_intermedia@Seq_4343
N0.HOG0003154	OG0002953	-	SGZ52863.1	Candida_intermedia@Seq_277
N0.HOG0003155	OG0002954	-	SGZ52864.1	Candida_intermedia@Seq_1605
N0.HOG0003156	OG0002955	-	SGZ52865.1	Candida_intermedia@Seq_3304
N0.HOG0003157	OG0002956	-	SGZ52866.1	Candida_intermedia@Seq_1214
N0.HOG0003158	OG0002957	-	SGZ52867.1	Candida_intermedia@Seq_976
N0.HOG0003159	OG0002958	-	SGZ52868.1	Candida_intermedia@Seq_613
N0.HOG0003160	OG0002959	-	SGZ52869.1	Candida_intermedia@Seq_1282
N0.HOG0003161	OG0002960	-	SGZ52870.1	Candida_intermedia@Seq_4714
N0.HOG0003162	OG0002961	-	SGZ52871.1	Candida_intermedia@Seq_4673
N0.HOG0003163	OG0002962	-	SGZ52873.1	Candida_intermedia@Seq_965
N0.HOG0003164	OG0002963	-	SGZ52874.1	Candida_intermedia@Seq_999
N0.HOG0003165	OG0002964	-	SGZ52875.1	Candida_intermedia@Seq_443
N0.HOG0003166	OG0002965	-	SGZ52876.1	Candida_intermedia@Seq_5157
N0.HOG0003167	OG0002966	-	SGZ52877.1	Candida_intermedia@Seq_2875
N0.HOG0003168	OG0002967	-	SGZ52878.1	Candida_intermedia@Seq_882
N0.HOG0003169	OG0002968	-	SGZ52880.1	Candida_intermedia@Seq_2197
N0.HOG0003170	OG0002969	-	SGZ52881.1	Candida_intermedia@Seq_3650
N0.HOG0003171	OG0002970	-	SGZ52882.1	Candida_intermedia@Seq_254
N0.HOG0003172	OG0002971	-	SGZ52884.1	Candida_intermedia@Seq_4501
N0.HOG0003173	OG0002972	-	SGZ52885.1	Candida_intermedia@Seq_5370
N0.HOG0003174	OG0002973	-	SGZ52886.1	Candida_intermedia@Seq_3331
N0.HOG0003175	OG0002974	-	SGZ52887.1	Candida_intermedia@Seq_3970
N0.HOG0003176	OG0002975	-	SGZ52888.1	Candida_intermedia@Seq_353
N0.HOG0003177	OG0002976	-	SGZ52889.1	Candida_intermedia@Seq_4859
N0.HOG0003178	OG0002977	-	SGZ52893.1	Candida_intermedia@Seq_943
N0.HOG0003179	OG0002978	-	SGZ52894.1	Candida_intermedia@Seq_233
N0.HOG0003180	OG0002979	-	SGZ52896.1	Candida_intermedia@Seq_1144
N0.HOG0003181	OG0002980	-	SGZ52898.1, SGZ52901.1	
N0.HOG0003182	OG0002981	-	SGZ52903.1	Candida_intermedia@Seq_1921
N0.HOG0003183	OG0002982	-	SGZ52904.1	Candida_intermedia@Seq_35
N0.HOG0003184	OG0002983	-	SGZ52905.1	Candida_intermedia@Seq_2145
N0.HOG0003185	OG0002984	-	SGZ52908.1	Candida_intermedia@Seq_3312
N0.HOG0003186	OG0002985	-	SGZ52911.1	Candida_intermedia@Seq_3772
N0.HOG0003187	OG0002986	-	SGZ52912.1	Candida_intermedia@Seq_2615
N0.HOG0003188	OG0002987	-	SGZ53011.1	Candida_intermedia@Seq_5199
N0.HOG0003189	OG0002988	-	SGZ53015.1	Candida_intermedia@Seq_557
N0.HOG0003190	OG0002989	-	SGZ53017.1	Candida_intermedia@Seq_4342
N0.HOG0003191	OG0002990	-	SGZ53019.1	Candida_intermedia@Seq_4491
N0.HOG0003192	OG0002991	-	SGZ53024.1	Candida_intermedia@Seq_3458
N0.HOG0003193	OG0002992	-	SGZ53026.1	Candida_intermedia@Seq_2614
N0.HOG0003194	OG0002993	-	SGZ53030.1	Candida_intermedia@Seq_122
N0.HOG0003195	OG0002994	-	SGZ53032.1	Candida_intermedia@Seq_3024
N0.HOG0003196	OG0002995	-	SGZ53034.1	Candida_intermedia@Seq_734
N0.HOG0003197	OG0002996	-	SGZ53036.1	Candida_intermedia@Seq_3259
N0.HOG0003198	OG0002997	-	SGZ53038.1	Candida_intermedia@Seq_4337
N0.HOG0003199	OG0002998	-	SGZ53040.1	Candida_intermedia@Seq_74
N0.HOG0003200	OG0002999	-	SGZ53042.1	Candida_intermedia@Seq_2164
N0.HOG0003201	OG0003000	-	SGZ53044.1	Candida_intermedia@Seq_3530
N0.HOG0003202	OG0003001	-	SGZ53047.1	Candida_intermedia@Seq_81
N0.HOG0003203	OG0003002	-	SGZ53048.1	Candida_intermedia@Seq_1494
N0.HOG0003204	OG0003003	-	SGZ53050.1	Candida_intermedia@Seq_2788
N0.HOG0003205	OG0003004	-	SGZ53052.1	Candida_intermedia@Seq_4356
N0.HOG0003206	OG0003005	-	SGZ53054.1	Candida_intermedia@Seq_5289
N0.HOG0003207	OG0003006	-	SGZ53057.1	Candida_intermedia@Seq_4667
N0.HOG0003208	OG0003007	-	SGZ53058.1	Candida_intermedia@Seq_2403
N0.HOG0003209	OG0003008	-	SGZ53061.1	Candida_intermedia@Seq_946
N0.HOG0003210	OG0003009	-	SGZ53063.1	Candida_intermedia@Seq_4299
N0.HOG0003211	OG0003010	-	SGZ53065.1	Candida_intermedia@Seq_1777
N0.HOG0003212	OG0003011	-	SGZ53067.1	Candida_intermedia@Seq_5331
N0.HOG0003213	OG0003012	-	SGZ53070.1	Candida_intermedia@Seq_2238
N0.HOG0003214	OG0003013	-	SGZ53074.1	Candida_intermedia@Seq_1520
N0.HOG0003215	OG0003014	-	SGZ53076.1	Candida_intermedia@Seq_1943
N0.HOG0003216	OG0003015	-	SGZ53078.1	Candida_intermedia@Seq_2449
N0.HOG0003217	OG0003016	-	SGZ53083.1	Candida_intermedia@Seq_2118
N0.HOG0003218	OG0003017	-	SGZ53085.1	Candida_intermedia@Seq_1021
N0.HOG0003219	OG0003018	-	SGZ53087.1	Candida_intermedia@Seq_5192
N0.HOG0003220	OG0003019	-	SGZ53089.1	Candida_intermedia@Seq_2085
N0.HOG0003221	OG0003020	-	SGZ53091.1	Candida_intermedia@Seq_2655
N0.HOG0003222	OG0003021	-	SGZ53093.1	Candida_intermedia@Seq_635
N0.HOG0003223	OG0003022	-	SGZ53095.1	Candida_intermedia@Seq_477
N0.HOG0003224	OG0003023	-	SGZ53098.1	Candida_intermedia@Seq_1097
N0.HOG0003225	OG0003024	-	SGZ53100.1	Candida_intermedia@Seq_1467
N0.HOG0003226	OG0003025	-	SGZ53102.1	Candida_intermedia@Seq_39
N0.HOG0003227	OG0003026	-	SGZ53107.1	Candida_intermedia@Seq_4903
