genes	shortnames	orthologues	proteins
Seq_517	Seq_517	CIC11T00000002932	YBR132C
Seq_1077	Seq_1077	CIC11T00000003529	YLL028W
Seq_1249	Seq_1249	CIC11T00000005776	YDR508C
Seq_1764	Seq_1764	CIC11T00000002477	YDR508C
Seq_3911	Seq_3911	CIC11T00000005125	YDR508C
Seq_4278	Seq_4278	CIC11T00000005071; CIC11T00000001530	YDR508C
Seq_4658	Seq_4658	CIC11T00000004870	YDR508C
Seq_2799	Seq_2799	CIC11T00000000960	YBR263W
Seq_5112	Seq_5112	CIC11T00000003042	YCL064C
Seq_4194	Seq_4194	CIC11T00000004155	YGR224W
Seq_4675	Seq_4675	CIC11T00000000577; CIC11T00000004804	YGR224W
Seq_3913	Seq_3913	CIC11T00000005688	YCR010C
Seq_3539	Seq_3539	CIC11T00000002853	YCR028C
Seq_4851	Seq_4851	CIC11T00000003972	YCR037C
Seq_4456	Seq_4456	CIC11T00000005670	YCR105W
Seq_4948	Seq_4948	CIC11T00000003772	YOR120W
Seq_5221	Seq_5221	CIC11T00000004377	YOR120W
Seq_4932	Seq_4932	CIC11T00000000111	YDL066W
Seq_5169	Seq_5169	CIC11T00000003606	YDL080C
Seq_3410	Seq_3410	CIC11T00000002403	YDL131W
Seq_2137	Seq_2137	CIC11T00000004383	YDL210W
Seq_4014	Seq_4014	CIC11T00000001806	YDL210W
Seq_5337	Seq_5337	CIC11T00000005092	YOR348C
Seq_1872	Seq_1872	CIC11T00000004378	YDL239C
Seq_4082	Seq_4082	CIC11T00000002083	YDR178W
Seq_1776	Seq_1776	CIC11T00000002048	YDR234W
Seq_5163	Seq_5163	CIC11T00000004502	YJL200C
Seq_3448	Seq_3448	CIC11T00000001887	YPL265W
Seq_2339	Seq_2339	CIC11T00000004135	YFL055W
Seq_4495	Seq_4495	CIC11T00000001217	YOL130W
Seq_4744	Seq_4744	CIC11T00000002438	YEL046C
Seq_4471	Seq_4471	CIC11T00000004504	YER014W
Seq_2834	Seq_2834	CIC11T00000004137	YER015W
Seq_3645	Seq_3645	CIC11T00000005587	YER070W
Seq_5123	Seq_5123	CIC11T00000004109	YGL077C
Seq_2351	Seq_2351	CIC11T00000003948	YGL205W
Seq_3632	Seq_3632	CIC11T00000001713	YGR019W
Seq_3940	Seq_3940	CIC11T00000001891	YGR032W
Seq_5235	Seq_5235	CIC11T00000002814	YGR032W
Seq_3256	Seq_3256	CIC11T00000001201	YGR060W
Seq_4649	Seq_4649	CIC11T00000004225	YGR065C
Seq_4965	Seq_4965	CIC11T00000005749	YGR240C
Seq_2484	Seq_2484	CIC11T00000005154	YGR260W
Seq_4549	Seq_4549	CIC11T00000000329	YGR260W
Seq_5425	Seq_5425	CIC11T00000005353	YGR260W
Seq_786	Seq_786	CIC11T00000003361	YGR260W
Seq_4936	Seq_4936	CIC11T00000000932	YHR096C
Seq_4945	Seq_4945	CIC11T00000003667	YGR289C
Seq_3591	Seq_3591	CIC11T00000001117	YHR019C
Seq_3482	Seq_3482	CIC11T00000000433	YHR104W
Seq_4254	XYL1_2	CIC11T00000000893	xyl1_2
Seq_5269	Seq_5269	CIC11T00000004642	YGL039W
Seq_2121	Seq_2121	CIC11T00000001564	YOR328W
Seq_2362	Seq_2362	CIC11T00000000277	YOR328W
Seq_2987	Seq_2987	CIC11T00000001275	YOR328W
Seq_4348	Seq_4348	CIC11T00000005816	YIL053W
Seq_1967	Seq_1967	CIC11T00000000920	YER013W
Seq_2433	Seq_2433	CIC11T00000003886	YER013W
Seq_4474	Seq_4474	CIC11T00000001997	YER013W
Seq_980	Seq_980	CIC11T00000005690	YER013W
Seq_2261	Seq_2261	CIC11T00000001989	YJL130C
Seq_4597	Seq_4597	CIC11T00000004718	YJL212C
Seq_1373	Seq_1373	CIC11T00000004568	YJR009C
Seq_2848	Seq_2848	CIC11T00000001016	YJR019C
Seq_4716	Seq_4716	CIC11T00000003746	YJR019C
Seq_5359	Seq_5359	CIC11T00000000892	YJR152W
Seq_1267	Seq_1267	CIC11T00000003567	YKR093W
Seq_2862	Seq_2862	CIC11T00000005769	YKR093W
Seq_3578	Seq_3578	CIC11T00000005270	YKR093W
Seq_3635	Seq_3635	CIC11T00000002376	YKL192C
Seq_2449	Seq_2449	CIC11T00000001508	YKL217W
Seq_1236	Seq_1236	CIC11T00000001376	YLL048C
Seq_2231	Seq_2231	CIC11T00000005514	YLL048C
Seq_3160	Seq_3160	CIC11T00000003453	YLL048C
Seq_3372	Seq_3372	CIC11T00000001613	YLL048C
Seq_3625	Seq_3625	CIC11T00000000401	YLL048C
Seq_5017	Seq_5017	CIC11T00000004862	YLL048C
Seq_5227	Seq_5227	CIC11T00000004306	YLL048C
Seq_580	Seq_580	CIC11T00000002870	YLL048C
Seq_620	Seq_620	CIC11T00000005789	YLL048C
Seq_2308	Seq_2308	CIC11T00000005087; CIC11T00000003222	YMR006C
Seq_5307	Seq_5307	CIC11T00000002198	YMR054W
Seq_4855	Seq_4855	CIC11T00000002281	YMR083W
Seq_5413	Seq_5413	CIC11T00000002197	YMR083W
Seq_4282	Seq_4282	CIC11T00000002860	YMR226C
Seq_2712	Seq_2712	CIC11T00000001563	YNL104C
Seq_3663	Seq_3663	CIC11T00000001467	YNL106C
Seq_2236	Seq_2236	CIC11T00000003096	YNL117W
Seq_2270	Seq_2270	CIC11T00000003321	YNL192W
Seq_3571	Seq_3571	CIC11T00000000908	YNL192W
Seq_1463	Seq_1463	CIC11T00000000725	YNR067C
Seq_3266	Seq_3266	CIC11T00000000463	YOL059W
Seq_1992	Seq_1992	CIC11T00000005862	YOR099W
Seq_2590	Seq_2590	CIC11T00000002360	YOR099W
Seq_3412	Seq_3412	CIC11T00000000321	YOR192C
Seq_3919	Seq_3919	CIC11T00000001738	YOR192C
Seq_4436	Seq_4436	CIC11T00000002437	YPL110C
Seq_5155	Seq_5155	CIC11T00000003818	YPR048W
Seq_2478	Seq_2478	CIC11T00000000296	YMR058W
Seq_766	Seq_766	CIC11T00000003375	YPL281C
Seq_2505	Seq_2505	CIC11T00000002071	YLL001W
Seq_4691	Seq_4691	CIC11T00000003145	YDR352W
Seq_4988	Seq_4988	CIC11T00000005396	YEL031W
Seq_4113	Seq_4113	CIC11T00000002233	YIR038C
Seq_4819	Seq_4819	CIC11T00000004749	YIR038C
Seq_3850	Seq_3850	CIC11T00000003911	YKL215C
Seq_3881	Seq_3881	CIC11T00000000684	YKL215C
Seq_3922	Seq_3922	CIC11T00000004319	YKL215C
Seq_729	Seq_729	CIC11T00000004750	YKL215C
Seq_4526	Seq_4526	CIC11T00000002751	YDR040C
Seq_5277	Seq_5277	CIC11T00000004624	YJR051W
Seq_2575	Seq_2575	CIC11T00000005704	YNR060W
Seq_3014	Seq_3014	CIC11T00000000258	YNR060W
Seq_3415	Seq_3415	CIC11T00000004251	YNR060W
Seq_4473	Seq_4473	CIC11T00000004646	YOL152W
Seq_4781	Seq_4781	CIC11T00000005623	YNR060W
Seq_4832	Seq_4832	CIC11T00000001449	YNR060W
Seq_5327	Seq_5327	CIC11T00000000526	YNR060W
Seq_3980	Seq_3980	CIC11T00000004139	YNL274C
Seq_5091	Seq_5091	CIC11T00000002390	YNL274C
Seq_4728	Seq_4728	CIC11T00000001401	YOL157C
Seq_1779	Seq_1779	CIC11T00000001880	YPR003C
Seq_1743	Seq_1743	CIC11T00000001381	YLR286C
Seq_3768	Seq_3768	CIC11T00000000950	YNL065W
Seq_2881	Seq_2881	CIC11T00000003029	YDR093W
Seq_4900	Seq_4900	CIC11T00000002623	YDR093W
Seq_3085	Seq_3085	CIC11T00000001140	YOR306C
Seq_4512	Seq_4512	CIC11T00000002479	YOR306C
Seq_4252	Seq_4252	CIC11T00000001822	Ascoidea_asiatica@Seq_6967
Seq_3864	Seq_3864	CIC11T00000003269	Metschnikowia_santaceciliae@Seq_2007
Seq_2293	Seq_2293	CIC11T00000004181	Metschnikowia_matae@Seq_2628
Seq_3104	Seq_3104	Seq_3104	yHMPu5000041863_Candida_gorgasii@Seq_3415
Seq_5458	Seq_5458	CIC11T00000003255; CIC11T00000001437	yHMPu5000035665_Middelhovenomyces_tepae@Seq_3271
Seq_5218	Seq_5218	CIC11T00000000177	yHMPu5000026124_Ogataea_henricii@Seq_5027
Seq_2963	Seq_2963	CIC11T00000005513	yHMPu5000034990_Candida_corydali@Seq_3601
Seq_1204	Seq_1204	CIC11T00000002535	Metschnikowia_santaceciliae@Seq_5740
Seq_1370	Seq_1370	CIC11T00000002798	Metschnikowia_santaceciliae@Seq_5740
Seq_2990	Seq_2990	CIC11T00000004797	Metschnikowia_santaceciliae@Seq_5740
Seq_3884	Seq_3884	CIC11T00000004843	Metschnikowia_santaceciliae@Seq_5740
Seq_4552	Seq_4552	CIC11T00000004225	Metschnikowia_santaceciliae@Seq_5740
Seq_1067	Seq_1067	CIC11T00000003552	
Seq_4527	Seq_4527	CIC11T00000004771	
Seq_123	Seq_123	CIC11T00000001464	
Seq_1610	Seq_1610	CIC11T00000002106	
Seq_2092	Seq_2092	CIC11T00000002590	Metschnikowia_hibisci@Seq_5078
Seq_2096	Seq_2096	CIC11T00000004368	Metschnikowia_lockheadii@Seq_4766
Seq_2223	Seq_2223	CIC11T00000002468	Metschnikowia_kamakouana@Seq_3870
Seq_2525	Seq_2525	CIC11T00000003581	Millerozyma_acaciae@Seq_4100
Seq_2631	Seq_2631	CIC11T00000004877	YDR129C
Seq_2662	Seq_2662	CIC11T00000004397	Metschnikowia_matae_maris@Seq_1638
Seq_3354	Seq_3354	CIC11T00000001875	Metschnikowia_shivogae@Seq_453
Seq_3411	Seq_3411	CIC11T00000004729	Ascoidea_asiatica@Seq_7531
Seq_3441	Seq_3441	Seq_3441	Stagonospora_nodorum@Seq_11788
Seq_3674	Seq_3674	CIC11T00000003629	yHMPu5000041863_Candida_gorgasii@Seq_1495
Seq_4037	Seq_4037	CIC11T00000002039	Cyberlindnera_fabianii_JCM3601@Seq_1970
Seq_4394	Seq_4394	CIC11T00000002298	Metschnikowia_borealis@Seq_5873
Seq_4449	Seq_4449	CIC11T00000003053	Metschnikowia_lockheadii@Seq_2967
Seq_4478	Seq_4478	CIC11T00000001057	Metschnikowia_hamakuensis@Seq_2035
Seq_4873	Seq_4873	CIC11T00000005620	Metschnikowia_hibisci@Seq_207
Seq_532	Seq_532	CIC11T00000003059	Metschnikowia_proteae@Seq_1593
Seq_5399	Seq_5399	CIC11T00000003340	Metschnikowia_proteae@Seq_4309
Seq_5435	Seq_5435	CIC11T00000001216	Metschnikowia_matae@Seq_2907
Seq_598	Seq_598	CIC11T00000001269	Geotrichum_candidum@Seq_5694
Seq_843	Seq_843	CIC11T00000000769	Lodderomyces_elongisporus@Seq_5442
Seq_110	XYL1_3	CIC11T00000005922	xyl1_3
CIC11T00000004804	CIC11T00000004804	CIC11T00000004804	CIC11T00000004804
CIC11T00000001437	CIC11T00000001437	CIC11T00000001437	CIC11T00000001437
CIC11T00000001530	CIC11T00000001530	CIC11T00000001530	CIC11T00000001530
CIC11T00000003222	CIC11T00000003222	CIC11T00000003222	CIC11T00000003222
