rxns	rxnNames	formulas	grRules
r_3051	PE phospholipase B (1-16:1, 2-18:1), cell envelope	H2O[ce] + phosphatidylethanolamine (1-16:1, 2-18:1)[ce] => H+[ce] + oleate[ce] + 1-acylglycerophosphoethanolamine (16:1)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3052	PE phospholipase B (1-18:0, 2-18:1), cell envelope	H2O[ce] + phosphatidylethanolamine (1-18:0, 2-18:1)[ce] => H+[ce] + oleate[ce] + 1-acylglycerophosphoethanolamine (18:0)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3053	PE phospholipase B (1-18:1, 2-18:1), cell envelope	H2O[ce] + phosphatidylethanolamine (1-18:1, 2-18:1)[ce] => H+[ce] + oleate[ce] + 1-acylglycerophosphoethanolamine (18:1)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3054	LPE phospholipase B (16:0), cell envelope	H2O[ce] + 1-acylglycerophosphoethanolamine (16:0)[ce] => H+[ce] + palmitate[ce] + sn-glycero-3-phosphoethanolamine[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3055	LPE phospholipase B (16:1), cell envelope	H2O[ce] + 1-acylglycerophosphoethanolamine (16:1)[ce] => H+[ce] + palmitoleate[ce] + sn-glycero-3-phosphoethanolamine[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3056	LPE phospholipase B (18:0), cell envelope	H2O[ce] + 1-acylglycerophosphoethanolamine (18:0)[ce] => H+[ce] + stearate[ce] + sn-glycero-3-phosphoethanolamine[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3057	LPE phospholipase B (18:1), cell envelope	H2O[ce] + 1-acylglycerophosphoethanolamine (18:1)[ce] => H+[ce] + oleate[ce] + sn-glycero-3-phosphoethanolamine[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3058	PS phospholipase B (1-16:0, 2-16:1), cell envelope	H2O[ce] + phosphatidyl-L-serine (1-16:0, 2-16:1)[ce] => H+[ce] + palmitoleate[ce] + 1-acylglycerophosphoserine (16:0)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3059	PS phospholipase B (1-16:1, 2-16:1), cell envelope	H2O[ce] + phosphatidyl-L-serine (1-16:1, 2-16:1)[ce] => H+[ce] + palmitoleate[ce] + 1-acylglycerophosphoserine (16:1)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3060	PS phospholipase B (1-18:0, 2-16:1), cell envelope	H2O[ce] + phosphatidyl-L-serine (1-18:0, 2-16:1)[ce] => H+[ce] + palmitoleate[ce] + 1-acylglycerophosphoserine (18:0)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3061	PS phospholipase B (1-18:1, 2-16:1), cell envelope	H2O[ce] + phosphatidyl-L-serine (1-18:1, 2-16:1)[ce] => H+[ce] + palmitoleate[ce] + 1-acylglycerophosphoserine (18:1)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3062	PS phospholipase B (1-16:0, 2-18:1), cell envelope	H2O[ce] + phosphatidyl-L-serine (1-16:0, 2-18:1)[ce] => H+[ce] + oleate[ce] + 1-acylglycerophosphoserine (16:0)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3063	PS phospholipase B (1-16:1, 2-18:1), cell envelope	H2O[ce] + phosphatidyl-L-serine (1-16:1, 2-18:1)[ce] => H+[ce] + oleate[ce] + 1-acylglycerophosphoserine (16:1)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3064	PS phospholipase B (1-18:0, 2-18:1), cell envelope	H2O[ce] + phosphatidyl-L-serine (1-18:0, 2-18:1)[ce] => H+[ce] + oleate[ce] + 1-acylglycerophosphoserine (18:0)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3065	PS phospholipase B (1-18:1, 2-18:1), cell envelope	H2O[ce] + phosphatidyl-L-serine (1-18:1, 2-18:1)[ce] => H+[ce] + oleate[ce] + 1-acylglycerophosphoserine (18:1)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3066	LPS phospholipase B (16:0), cell envelope	H2O[ce] + 1-acylglycerophosphoserine (16:0)[ce] => H+[ce] + palmitate[ce] + sn-glycero-3-phosphoserine[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3067	LPS phospholipase B (16:1), cell envelope	H2O[ce] + 1-acylglycerophosphoserine (16:1)[ce] => H+[ce] + palmitoleate[ce] + sn-glycero-3-phosphoserine[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3068	LPS phospholipase B (18:0), cell envelope	H2O[ce] + 1-acylglycerophosphoserine (18:0)[ce] => H+[ce] + stearate[ce] + sn-glycero-3-phosphoserine[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3069	LPS phospholipase B (18:1), cell envelope	H2O[ce] + 1-acylglycerophosphoserine (18:1)[ce] => H+[ce] + oleate[ce] + sn-glycero-3-phosphoserine[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3070	PI phospholipase B (1-16:0, 2-16:1), cell envelope	1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[ce] + H2O[ce] => H+[ce] + palmitoleate[ce] + 1-acylglycerophosphoinositol (16:0)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3071	PI phospholipase B (1-16:1, 2-16:1), cell envelope	1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[ce] + H2O[ce] => H+[ce] + palmitoleate[ce] + 1-acylglycerophosphoinositol (16:1)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3072	PI phospholipase B (1-18:0, 2-16:1), cell envelope	1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[ce] + H2O[ce] => H+[ce] + palmitoleate[ce] + 1-acylglycerophosphoinositol (18:0)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3073	PI phospholipase B (1-18:1, 2-16:1), cell envelope	1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[ce] + H2O[ce] => H+[ce] + palmitoleate[ce] + 1-acylglycerophosphoinositol (18:1)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3074	PI phospholipase B (1-16:0, 2-18:1), cell envelope	1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[ce] + H2O[ce] => H+[ce] + oleate[ce] + 1-acylglycerophosphoinositol (16:0)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3075	PI phospholipase B (1-16:1, 2-18:1), cell envelope	1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[ce] + H2O[ce] => H+[ce] + oleate[ce] + 1-acylglycerophosphoinositol (16:1)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3076	PI phospholipase B (1-18:0, 2-18:1), cell envelope	1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[ce] + H2O[ce] => H+[ce] + oleate[ce] + 1-acylglycerophosphoinositol (18:0)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3077	PI phospholipase B (1-18:1, 2-18:1), cell envelope	1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[ce] + H2O[ce] => H+[ce] + oleate[ce] + 1-acylglycerophosphoinositol (18:1)[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3078	LPI phospholipase B (16:0), cell envelope	H2O[ce] + 1-acylglycerophosphoinositol (16:0)[ce] => H+[ce] + palmitate[ce] + 1-(sn-glycero-3-phospho)-1D-myo-inositol[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3079	LPI phospholipase B (16:1), cell envelope	H2O[ce] + 1-acylglycerophosphoinositol (16:1)[ce] => H+[ce] + palmitoleate[ce] + 1-(sn-glycero-3-phospho)-1D-myo-inositol[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3080	LPI phospholipase B (18:0), cell envelope	H2O[ce] + 1-acylglycerophosphoinositol (18:0)[ce] => H+[ce] + stearate[ce] + 1-(sn-glycero-3-phospho)-1D-myo-inositol[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3081	LPI phospholipase B (18:1), cell envelope	H2O[ce] + 1-acylglycerophosphoinositol (18:1)[ce] => H+[ce] + oleate[ce] + 1-(sn-glycero-3-phospho)-1D-myo-inositol[ce]	Seq_1136 or Seq_2308 or CIC11T00000003222
r_3082	PI 4,5-P2 phospholipase C (1-16:0, 2-16:1), cytoplasm	H2O[c] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-16:1)[c] => H+[c] + diglyceride (1-16:0, 2-16:1)[c] + 1D-myo-inositol 1,4,5-trisphosphate[c]	Seq_4445
r_3083	PI 4,5-P2 phospholipase C (1-16:1, 2-16:1), cytoplasm	H2O[c] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:1, 2-16:1)[c] => H+[c] + 1D-myo-inositol 1,4,5-trisphosphate[c] + diglyceride (1-16:1, 2-16:1)[c]	Seq_4445
r_3084	PI 4,5-P2 phospholipase C (1-18:0, 2-16:1), cytoplasm	H2O[c] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-16:1)[c] => H+[c] + 1D-myo-inositol 1,4,5-trisphosphate[c] + diglyceride (1-18:0, 2-16:1)[c]	Seq_4445
r_3085	PI 4,5-P2 phospholipase C (1-18:1, 2-16:1), cytoplasm	H2O[c] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:1, 2-16:1)[c] => H+[c] + 1D-myo-inositol 1,4,5-trisphosphate[c] + diglyceride (1-18:1, 2-16:1)[c]	Seq_4445
r_3086	PI 4,5-P2 phospholipase C (1-16:0, 2-18:1), cytoplasm	H2O[c] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-18:1)[c] => H+[c] + 1D-myo-inositol 1,4,5-trisphosphate[c] + diglyceride (1-16:0, 2-18:1)[c]	Seq_4445
r_3087	PI 4,5-P2 phospholipase C (1-16:1, 2-18:1), cytoplasm	H2O[c] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:1, 2-18:1)[c] => H+[c] + 1D-myo-inositol 1,4,5-trisphosphate[c] + diglyceride (1-16:1, 2-18:1)[c]	Seq_4445
r_3088	PI 4,5-P2 phospholipase C (1-18:0, 2-18:1), cytoplasm	H2O[c] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-18:1)[c] => H+[c] + 1D-myo-inositol 1,4,5-trisphosphate[c] + diglyceride (1-18:0, 2-18:1)[c]	Seq_4445
r_3089	PI 4,5-P2 phospholipase C (1-18:1, 2-18:1), cytoplasm	H2O[c] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:1, 2-18:1)[c] => H+[c] + 1D-myo-inositol 1,4,5-trisphosphate[c] + diglyceride (1-18:1, 2-18:1)[c]	Seq_4445
r_3090	PI 4,5-P2 phospholipase C (1-16:0, 2-16:1), nucleus	H2O[n] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-16:1)[n] => 1D-myo-inositol 1,4,5-trisphosphate[n] + H+[n] + diglyceride (1-16:0, 2-16:1)[n]	Seq_4445
r_3091	PI 4,5-P2 phospholipase C (1-16:1, 2-16:1), nucleus	H2O[n] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:1, 2-16:1)[n] => 1D-myo-inositol 1,4,5-trisphosphate[n] + H+[n] + diglyceride (1-16:1, 2-16:1)[n]	Seq_4445
r_3092	PI 4,5-P2 phospholipase C (1-18:0, 2-16:1), nucleus	H2O[n] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-16:1)[n] => 1D-myo-inositol 1,4,5-trisphosphate[n] + H+[n] + diglyceride (1-18:0, 2-16:1)[n]	Seq_4445
r_3093	PI 4,5-P2 phospholipase C (1-18:1, 2-16:1), nucleus	H2O[n] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:1, 2-16:1)[n] => 1D-myo-inositol 1,4,5-trisphosphate[n] + H+[n] + diglyceride (1-18:1, 2-16:1)[n]	Seq_4445
r_3094	PI 4,5-P2 phospholipase C (1-16:0, 2-18:1), nucleus	H2O[n] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-18:1)[n] => 1D-myo-inositol 1,4,5-trisphosphate[n] + H+[n] + diglyceride (1-16:0, 2-18:1)[n]	Seq_4445
r_3095	PI 4,5-P2 phospholipase C (1-16:1, 2-18:1), nucleus	H2O[n] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:1, 2-18:1)[n] => 1D-myo-inositol 1,4,5-trisphosphate[n] + H+[n] + diglyceride (1-16:1, 2-18:1)[n]	Seq_4445
r_3096	PI 4,5-P2 phospholipase C (1-18:0, 2-18:1), nucleus	H2O[n] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-18:1)[n] => 1D-myo-inositol 1,4,5-trisphosphate[n] + H+[n] + diglyceride (1-18:0, 2-18:1)[n]	Seq_4445
r_3097	PI 4,5-P2 phospholipase C (1-18:1, 2-18:1), nucleus	H2O[n] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:1, 2-18:1)[n] => 1D-myo-inositol 1,4,5-trisphosphate[n] + H+[n] + diglyceride (1-18:1, 2-18:1)[n]	Seq_4445
r_3098	PG phospholipase C (1-16:0, 2-16:1), mitochondrial membrane	H2O[mm] + phosphatidylglycerol (1-16:0, 2-16:1)[mm] => H+[mm] + glycerol 3-phosphate[mm] + diglyceride (1-16:0, 2-16:1)[mm]	Seq_2714
r_3099	PG phospholipase C (1-16:1, 2-16:1), mitochondrial membrane	H2O[mm] + phosphatidylglycerol (1-16:1, 2-16:1)[mm] => H+[mm] + glycerol 3-phosphate[mm] + diglyceride (1-16:1, 2-16:1)[mm]	Seq_2714
r_3100	PG phospholipase C (1-18:0, 2-16:1), mitochondrial membrane	H2O[mm] + phosphatidylglycerol (1-18:0, 2-16:1)[mm] => H+[mm] + glycerol 3-phosphate[mm] + diglyceride (1-18:0, 2-16:1)[mm]	Seq_2714
r_3101	PG phospholipase C (1-18:1, 2-16:1), mitochondrial membrane	H2O[mm] + phosphatidylglycerol (1-18:1, 2-16:1)[mm] => H+[mm] + glycerol 3-phosphate[mm] + diglyceride (1-18:1, 2-16:1)[mm]	Seq_2714
r_3102	PG phospholipase C (1-16:0, 2-18:1), mitochondrial membrane	H2O[mm] + phosphatidylglycerol (1-16:0, 2-18:1)[mm] => H+[mm] + glycerol 3-phosphate[mm] + diglyceride (1-16:0, 2-18:1)[mm]	Seq_2714
r_3103	PG phospholipase C (1-16:1, 2-18:1), mitochondrial membrane	H2O[mm] + phosphatidylglycerol (1-16:1, 2-18:1)[mm] => H+[mm] + glycerol 3-phosphate[mm] + diglyceride (1-16:1, 2-18:1)[mm]	Seq_2714
r_3104	PC phospholipase D (1-16:0, 2-16:1), cell envelope	phosphatidylcholine (1-16:0, 2-16:1)[ce] + H2O[ce] => choline[ce] + H+[ce] + phosphatidate (1-16:0, 2-16:1)[ce]	Seq_727
r_3105	PC phospholipase D (1-16:1, 2-16:1), cell envelope	H2O[ce] + phosphatidylcholine (1-16:1, 2-16:1)[ce] => choline[ce] + H+[ce] + phosphatidate (1-16:1, 2-16:1)[ce]	Seq_727
r_3106	PC phospholipase D (1-18:0, 2-16:1), cell envelope	H2O[ce] + phosphatidylcholine (1-18:0, 2-16:1)[ce] => choline[ce] + H+[ce] + phosphatidate (1-18:0, 2-16:1)[ce]	Seq_727
r_3107	PC phospholipase D (1-18:1, 2-16:1), cell envelope	H2O[ce] + phosphatidylcholine (1-18:1, 2-16:1)[ce] => choline[ce] + H+[ce] + phosphatidate (1-18:1, 2-16:1)[ce]	Seq_727
r_3108	PC phospholipase D (1-16:0, 2-18:1), cell envelope	H2O[ce] + phosphatidylcholine (1-16:0, 2-18:1)[ce] => choline[ce] + H+[ce] + phosphatidate (1-16:0, 2-18:1)[ce]	Seq_727
r_3109	PC phospholipase D (1-16:1, 2-18:1), cell envelope	H2O[ce] + phosphatidylcholine (1-16:1, 2-18:1)[ce] => choline[ce] + H+[ce] + phosphatidate (1-16:1, 2-18:1)[ce]	Seq_727
r_3110	PC phospholipase D (1-18:0, 2-18:1), cell envelope	H2O[ce] + phosphatidylcholine (1-18:0, 2-18:1)[ce] => choline[ce] + H+[ce] + phosphatidate (1-18:0, 2-18:1)[ce]	Seq_727
r_3111	PC phospholipase D (1-18:1, 2-18:1), cell envelope	H2O[ce] + phosphatidylcholine (1-18:1, 2-18:1)[ce] => choline[ce] + H+[ce] + phosphatidate (1-18:1, 2-18:1)[ce]	Seq_727
r_3112	PI 3-P phosphatase (1-16:0, 2-16:1), cell envelope	H2O[ce] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1)[ce] => 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[ce] + phosphate[ce]	Seq_3335 or Seq_3663
r_3113	PI 3-P phosphatase (1-16:1, 2-16:1), cell envelope	H2O[ce] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-16:1)[ce] => 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[ce] + phosphate[ce]	Seq_3335 or Seq_3663
r_3114	PI 3-P phosphatase (1-18:0, 2-16:1), cell envelope	H2O[ce] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-16:1)[ce] => 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[ce] + phosphate[ce]	Seq_3335 or Seq_3663
r_3115	PI 3-P phosphatase (1-18:1, 2-16:1), cell envelope	H2O[ce] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-16:1)[ce] => 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[ce] + phosphate[ce]	Seq_3335 or Seq_3663
r_3116	PI 3-P phosphatase (1-16:0, 2-18:1), cell envelope	H2O[ce] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1)[ce] => 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[ce] + phosphate[ce]	Seq_3335 or Seq_3663
r_3117	PI 3-P phosphatase (1-16:1, 2-18:1), cell envelope	H2O[ce] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-18:1)[ce] => 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[ce] + phosphate[ce]	Seq_3335 or Seq_3663
r_3118	PI 3-P phosphatase (1-18:0, 2-18:1), cell envelope	H2O[ce] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-18:1)[ce] => 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[ce] + phosphate[ce]	Seq_3335 or Seq_3663
r_3119	PI 3-P phosphatase (1-18:1, 2-18:1), cell envelope	H2O[ce] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-18:1)[ce] => 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[ce] + phosphate[ce]	Seq_3335 or Seq_3663
r_3120	PI 3-P phosphatase (1-16:0, 2-16:1), cytoplasm	H2O[c] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1)[c] => phosphate[c] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[c]	Seq_3335 or Seq_3663
r_3121	PI 3-P phosphatase (1-16:1, 2-16:1), cytoplasm	H2O[c] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-16:1)[c] => phosphate[c] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[c]	Seq_3335 or Seq_3663
r_3122	PI 3-P phosphatase (1-18:0, 2-16:1), cytoplasm	H2O[c] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-16:1)[c] => phosphate[c] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[c]	Seq_3335 or Seq_3663
r_3123	PI 3-P phosphatase (1-18:1, 2-16:1), cytoplasm	H2O[c] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-16:1)[c] => phosphate[c] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[c]	Seq_3335 or Seq_3663
r_3124	PI 3-P phosphatase (1-16:0, 2-18:1), cytoplasm	H2O[c] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1)[c] => phosphate[c] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[c]	Seq_3335 or Seq_3663
r_3125	PI 3-P phosphatase (1-16:1, 2-18:1), cytoplasm	H2O[c] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-18:1)[c] => phosphate[c] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[c]	Seq_3335 or Seq_3663
r_3126	PI 3-P phosphatase (1-18:0, 2-18:1), cytoplasm	H2O[c] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-18:1)[c] => phosphate[c] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[c]	Seq_3335 or Seq_3663
r_3127	PI 3-P phosphatase (1-18:1, 2-18:1), cytoplasm	H2O[c] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-18:1)[c] => phosphate[c] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[c]	Seq_3335 or Seq_3663
r_3128	PI 3-P phosphatase (1-16:0, 2-16:1), ER membrane	H2O[erm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1)[erm] => phosphate[erm] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[erm]	Seq_4857
r_3129	PI 3-P phosphatase (1-16:1, 2-16:1), ER membrane	H2O[erm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-16:1)[erm] => phosphate[erm] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[erm]	Seq_4857
r_3130	PI 3-P phosphatase (1-18:0, 2-16:1), ER membrane	H2O[erm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-16:1)[erm] => phosphate[erm] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[erm]	Seq_4857
r_3131	PI 3-P phosphatase (1-18:1, 2-16:1), ER membrane	H2O[erm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-16:1)[erm] => phosphate[erm] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[erm]	Seq_4857
r_3132	PI 3-P phosphatase (1-16:0, 2-18:1), ER membrane	H2O[erm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1)[erm] => phosphate[erm] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[erm]	Seq_4857
r_3133	PI 3-P phosphatase (1-16:1, 2-18:1), ER membrane	H2O[erm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-18:1)[erm] => phosphate[erm] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[erm]	Seq_4857
r_3134	PI 3-P phosphatase (1-18:0, 2-18:1), ER membrane	H2O[erm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-18:1)[erm] => phosphate[erm] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[erm]	Seq_4857
r_3135	PI 3-P phosphatase (1-18:1, 2-18:1), ER membrane	H2O[erm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-18:1)[erm] => phosphate[erm] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[erm]	Seq_4857
r_3136	PI 3-P phosphatase (1-16:0, 2-16:1), Golgi membrane	H2O[gm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1)[gm] => phosphate[gm] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[gm]	Seq_4857
r_3137	PI 3-P phosphatase (1-16:1, 2-16:1), Golgi membrane	H2O[gm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-16:1)[gm] => phosphate[gm] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[gm]	Seq_4857
r_3138	PI 3-P phosphatase (1-18:0, 2-16:1), Golgi membrane	H2O[gm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-16:1)[gm] => phosphate[gm] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[gm]	Seq_4857
r_3139	PI 3-P phosphatase (1-18:1, 2-16:1), Golgi membrane	H2O[gm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-16:1)[gm] => phosphate[gm] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[gm]	Seq_4857
r_3140	PI 3-P phosphatase (1-16:0, 2-18:1), Golgi membrane	H2O[gm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1)[gm] => phosphate[gm] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[gm]	Seq_4857
r_3141	PI 3-P phosphatase (1-16:1, 2-18:1), Golgi membrane	H2O[gm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-18:1)[gm] => phosphate[gm] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[gm]	Seq_4857
r_3142	PI 3-P phosphatase (1-18:0, 2-18:1), Golgi membrane	H2O[gm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-18:1)[gm] => phosphate[gm] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[gm]	Seq_4857
r_3143	PI 3-P phosphatase (1-18:1, 2-18:1), Golgi membrane	H2O[gm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-18:1)[gm] => phosphate[gm] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[gm]	Seq_4857
r_3144	PI 4-P phosphatase (1-16:0, 2-16:1), cell envelope	1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-16:1)[ce] + H2O[ce] => 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[ce] + phosphate[ce]	Seq_3335 or Seq_3663
r_3145	PI 4-P phosphatase (1-16:1, 2-16:1), cell envelope	1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:1, 2-16:1)[ce] + H2O[ce] => 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[ce] + phosphate[ce]	Seq_3335 or Seq_3663
r_3146	PI 4-P phosphatase (1-18:0, 2-16:1), cell envelope	1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:0, 2-16:1)[ce] + H2O[ce] => 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[ce] + phosphate[ce]	Seq_3335 or Seq_3663
r_3147	PI 4-P phosphatase (1-18:1, 2-16:1), cell envelope	1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:1, 2-16:1)[ce] + H2O[ce] => 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[ce] + phosphate[ce]	Seq_3335 or Seq_3663
r_3148	PI 4-P phosphatase (1-16:0, 2-18:1), cell envelope	1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-18:1)[ce] + H2O[ce] => 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[ce] + phosphate[ce]	Seq_3335 or Seq_3663
